code,name,hex,r,g,b,brand
A1,A1,#FAF5CD,250,245,205,Mard
A2,A2,#FCFED6,252,254,214,Mard
A3,A3,#FCFF92,252,255,146,Mard
A4,A4,#F7EC5C,247,236,92,Mard
A5,A5,#F0D83A,240,216,58,Mard
A6,A6,#FDA951,253,169,81,Mard
A7,A7,#FA8C4F,250,140,79,Mard
A8,A8,#FBDA4D,251,218,77,Mard
A9,A9,#F79D5F,247,157,95,Mard
A10,A10,#F47E38,244,126,56,Mard
A11,A11,#FEDB99,254,219,153,Mard
A12,A12,#FDA276,253,162,118,Mard
A13,A13,#FEC667,254,198,103,Mard
A14,A14,#F75842,247,88,66,Mard
A15,A15,#FBF65E,251,246,94,Mard
A16,A16,#FEFF97,254,255,151,Mard
A17,A17,#FDE173,253,225,115,Mard
A18,A18,#FCBF80,252,191,128,Mard
A19,A19,#FD7E77,253,126,119,Mard
A20,A20,#F9D666,249,214,102,Mard
A21,A21,#FAE393,250,227,147,Mard
A22,A22,#EDF878,237,248,120,Mard
A23,A23,#E4C8BA,228,200,186,Mard
A24,A24,#F3F6A9,243,246,169,Mard
A25,A25,#FDF785,253,247,133,Mard
A26,A26,#FFC734,255,199,52,Mard
B1,B1,#DFF13B,223,241,59,Mard
B2,B2,#64F343,100,243,67,Mard
B3,B3,#A1F586,161,245,134,Mard
B4,B4,#5FDF34,95,223,52,Mard
B5,B5,#39E158,57,225,88,Mard
B6,B6,#64E0A4,100,224,164,Mard
B7,B7,#3EAE7C,62,174,124,Mard
B8,B8,#1D9B54,29,155,84,Mard
B9,B9,#2A5037,42,80,55,Mard
B10,B10,#9AD1BA,154,209,186,Mard
B11,B11,#627032,98,112,50,Mard
B12,B12,#1A6E3D,26,110,61,Mard
B13,B13,#C8E87D,200,232,125,Mard
B14,B14,#ABE84F,171,232,79,Mard
B15,B15,#305335,48,83,53,Mard
B16,B16,#C0ED9C,192,237,156,Mard
B17,B17,#9EB33E,158,179,62,Mard
B18,B18,#E6ED4F,230,237,79,Mard
B19,B19,#26B78E,38,183,142,Mard
B20,B20,#CBECCF,203,236,207,Mard
B21,B21,#18616A,24,97,106,Mard
B22,B22,#0A4241,10,66,65,Mard
B23,B23,#343B1A,52,59,26,Mard
B24,B24,#E8FAA6,232,250,166,Mard
B25,B25,#4E846D,78,132,109,Mard
B26,B26,#907C35,144,124,53,Mard
B27,B27,#D0E0AF,208,224,175,Mard
B28,B28,#9EE5BB,158,229,187,Mard
B29,B29,#C6DF5F,198,223,95,Mard
B30,B30,#E3FBB1,227,251,177,Mard
B31,B31,#B4E691,180,230,145,Mard
B32,B32,#92AD60,146,173,96,Mard
C1,C1,#F0FEE4,240,254,228,Mard
C2,C2,#ABF8FE,171,248,254,Mard
C3,C3,#A2E0F7,162,224,247,Mard
C4,C4,#44CDFB,68,205,251,Mard
C5,C5,#06AADF,6,170,223,Mard
C6,C6,#54A7E9,84,167,233,Mard
C7,C7,#3977CA,57,119,202,Mard
C8,C8,#0F52BD,15,82,189,Mard
C9,C9,#3349C3,51,73,195,Mard
C10,C10,#3CBCE3,60,188,227,Mard
C11,C11,#2ADED3,42,222,211,Mard
C12,C12,#1E334E,30,51,78,Mard
C13,C13,#CDE7FE,205,231,254,Mard
C14,C14,#D5FCF7,213,252,247,Mard
C15,C15,#21C5C4,33,197,196,Mard
C16,C16,#1858A2,24,88,162,Mard
C17,C17,#02D1F3,2,209,243,Mard
C18,C18,#213244,33,50,68,Mard
C19,C19,#18869D,24,134,157,Mard
C20,C20,#1A70A9,26,112,169,Mard
C21,C21,#BCDDFC,188,221,252,Mard
C22,C22,#6BB1BB,107,177,187,Mard
C23,C23,#C8E2FD,200,226,253,Mard
C24,C24,#7EC5F9,126,197,249,Mard
C25,C25,#A9E8E0,169,232,224,Mard
C26,C26,#42ADCF,66,173,207,Mard
C27,C27,#D0DEF9,208,222,249,Mard
C28,C28,#BDCEE8,189,206,232,Mard
C29,C29,#364A89,54,74,137,Mard
D1,D1,#ACB7EF,172,183,239,Mard
D2,D2,#868DD3,134,141,211,Mard
D3,D3,#3554AF,53,84,175,Mard
D4,D4,#162D7B,22,45,123,Mard
D5,D5,#B34EC6,179,78,198,Mard
D6,D6,#B37BDC,179,123,220,Mard
D7,D7,#8758A9,135,88,169,Mard
D8,D8,#E3D2FE,227,210,254,Mard
D9,D9,#D5B9F4,213,185,244,Mard
D10,D10,#301A49,48,26,73,Mard
D11,D11,#BEB9E2,190,185,226,Mard
D12,D12,#DC99CE,220,153,206,Mard
D13,D13,#B5038D,181,3,141,Mard
D14,D14,#862993,134,41,147,Mard
D15,D15,#2F1F8C,47,31,140,Mard
D16,D16,#E2E4F0,226,228,240,Mard
D17,D17,#C7D3F9,199,211,249,Mard
D18,D18,#9A64B8,154,100,184,Mard
D19,D19,#D8C2D9,216,194,217,Mard
D20,D20,#9A35AD,154,53,173,Mard
D21,D21,#940595,148,5,149,Mard
D22,D22,#38389A,56,56,154,Mard
D23,D23,#EADBF8,234,219,248,Mard
D24,D24,#768AE1,118,138,225,Mard
D25,D25,#4950C2,73,80,194,Mard
D26,D26,#D6C6EB,214,198,235,Mard
E1,E1,#F6D4CB,246,212,203,Mard
E2,E2,#FCC1DD,252,193,221,Mard
E3,E3,#F6BDE8,246,189,232,Mard
E4,E4,#E8649E,232,100,158,Mard
E5,E5,#F0569F,240,86,159,Mard
E6,E6,#EB4172,235,65,114,Mard
E7,E7,#C53674,197,54,116,Mard
E8,E8,#FDDBE9,253,219,233,Mard
E9,E9,#E376C7,227,118,199,Mard
E10,E10,#D13B95,209,59,149,Mard
E11,E11,#F7DAD4,247,218,212,Mard
E12,E12,#F693BF,246,147,191,Mard
E13,E13,#B5026A,181,2,106,Mard
E14,E14,#FAD4BF,250,212,191,Mard
E15,E15,#F5C9CA,245,201,202,Mard
E16,E16,#FBF4EC,251,244,236,Mard
E17,E17,#F7E3EC,247,227,236,Mard
E18,E18,#F9C8DB,249,200,219,Mard
E19,E19,#F6BBD1,246,187,209,Mard
E20,E20,#D7C6CE,215,198,206,Mard
E21,E21,#C09DA4,192,157,164,Mard
E22,E22,#B38C9F,179,140,159,Mard
E23,E23,#937D8A,147,125,138,Mard
E24,E24,#DEBEE5,222,190,229,Mard
F1,F1,#FE9381,254,147,129,Mard
F2,F2,#F63D4B,246,61,75,Mard
F3,F3,#EE4E3E,238,78,62,Mard
F4,F4,#FB2A40,251,42,64,Mard
F5,F5,#E10328,225,3,40,Mard
F6,F6,#913635,145,54,53,Mard
F7,F7,#911932,145,25,50,Mard
F8,F8,#BB0126,187,1,38,Mard
F9,F9,#E0677A,224,103,122,Mard
F10,F10,#874628,135,70,40,Mard
F11,F11,#592323,89,35,35,Mard
F12,F12,#F3536B,243,83,107,Mard
F13,F13,#F45C45,244,92,69,Mard
F14,F14,#FCADB2,252,173,178,Mard
F15,F15,#D50527,213,5,39,Mard
F16,F16,#F8C0A9,248,192,169,Mard
F17,F17,#E89B7D,232,155,125,Mard
F18,F18,#D07F4A,208,127,74,Mard
F19,F19,#BE454A,190,69,74,Mard
F20,F20,#C69495,198,148,149,Mard
F21,F21,#F2B8C6,242,184,198,Mard
F22,F22,#F7C3D0,247,195,208,Mard
F23,F23,#ED806C,237,128,108,Mard
F24,F24,#E09DAF,224,157,175,Mard
F25,F25,#E84854,232,72,84,Mard
G1,G1,#FFE4D3,255,228,211,Mard
G2,G2,#FCC6AC,252,198,172,Mard
G3,G3,#F1C4A5,241,196,165,Mard
G4,G4,#DCB387,220,179,135,Mard
G5,G5,#E7B34E,231,179,78,Mard
G6,G6,#E3A014,227,160,20,Mard
G7,G7,#985C3A,152,92,58,Mard
G8,G8,#713D2F,113,61,47,Mard
G9,G9,#E4B685,228,182,133,Mard
G10,G10,#DA8C42,218,140,66,Mard
G11,G11,#DAC898,218,200,152,Mard
G12,G12,#FEC993,254,201,147,Mard
G13,G13,#B2714B,178,113,75,Mard
G14,G14,#8B684C,139,104,76,Mard
G15,G15,#F6F8E3,246,248,227,Mard
G16,G16,#F2D8C1,242,216,193,Mard
G17,G17,#77544E,119,84,78,Mard
G18,G18,#FFE3D5,255,227,213,Mard
G19,G19,#DD7D41,221,125,65,Mard
G20,G20,#A5452F,165,69,47,Mard
G21,G21,#B38561,179,133,97,Mard
H1,H1,#FFFFFF,255,255,255,Mard
H2,H2,#FBFBFB,251,251,251,Mard
H3,H3,#B4B4B4,180,180,180,Mard
H4,H4,#878787,135,135,135,Mard
H5,H5,#464648,70,70,72,Mard
H6,H6,#2C2C2C,44,44,44,Mard
H7,H7,#010101,1,1,1,Mard
H8,H8,#E7D6DC,231,214,220,Mard
H9,H9,#EFEDEE,239,237,238,Mard
H10,H10,#EBEBEB,235,235,235,Mard
H11,H11,#CDCDCD,205,205,205,Mard
H12,H12,#FDF6EE,253,246,238,Mard
H13,H13,#F4EDF1,244,237,241,Mard
H14,H14,#CED7D4,206,215,212,Mard
H15,H15,#9AA6A6,154,166,166,Mard
H16,H16,#1B1213,27,18,19,Mard
H17,H17,#F0EEEF,240,238,239,Mard
H18,H18,#FCFFF6,252,255,246,Mard
H19,H19,#F2EEE5,242,238,229,Mard
H20,H20,#96A09F,150,160,159,Mard
H21,H21,#F8FBE6,248,251,230,Mard
H22,H22,#CACAD2,202,202,210,Mard
H23,H23,#9B9C94,155,156,148,Mard
M1,M1,#BBC6B6,187,198,182,Mard
M2,M2,#909994,144,153,148,Mard
M3,M3,#697E81,105,126,129,Mard
M4,M4,#E0D4BC,224,212,188,Mard
M5,M5,#D1CCAF,209,204,175,Mard
M6,M6,#B0AA86,176,170,134,Mard
M7,M7,#B0A796,176,167,150,Mard
M8,M8,#AE8082,174,128,130,Mard
M9,M9,#A68862,166,136,98,Mard
M10,M10,#C4B3BB,196,179,187,Mard
M11,M11,#9D7693,157,118,147,Mard
M12,M12,#644B51,100,75,81,Mard
M13,M13,#C79266,199,146,102,Mard
M14,M14,#C27563,194,117,99,Mard
M15,M15,#747D7A,116,125,122,Mard
